Item ID,Item Name,Category,Version,Item Code
19852484.0,XEB,Product P,32 / B / FtO,54-50F-3B5-7D2-8-74B12CD
10383852.0,YQX,Product O,30 / A / 7,D1-3BE-F9D-DC9-B-3DAE80D
47633165.0,YQX,Product H,31 / B / FtO,13-8B2-C38-313-0-F5201BA
21206865.0,WHX,Product P,38 / B / FtO,D3-399-7FD-56A-D-DDE2CE2
44945143.0,ZQV,Product W,35 / B / FtO,2F-05B-B0D-620-4-D6B8B81
29529547.0,YQX,Product I,38 / C / FtO,62-E17-D8E-62B-7-DEE701C
43230550.0,AYN,Product H,35 / B / FtO,6D-ABC-BD1-2BB-8-C8DA191
14511679.0,WHX,Product D,38 / B / FtO,40-824-C19-E98-7-D65187C
22559066.0,OHR,Product H,36 / B / FtO,A5-8AA-95E-29E-C-1ADEBCA
40522014.0,YYI,Product P,34 / B / FtO,48-7A8-A5E-901-6-B09F174
40522014.0,NWB,Product D,36 / B / FtO,18-F4B-424-D03-2-6008CC7
46045856.0,QID,Product H,33 / B / FtO,18-12C-337-0A2-A-44C1A31
27078787.0,AYN,Product P,33 / A / FtO,AA-919-F80-F95-0-F346CAC
22559066.0,EYV,Product H,33 / B / FtO,AE-017-C6F-C26-2-2967203
88419828.0,FMR,Product R,M / Sl / Re,3E-EED-1E5-375-4-258F84D
95571806.0,INU,Product A,38 / A / FtO,2F-7D5-A74-8A7-E-D1BFA13
72085551.0,QMB,Product J,33 / B / FtO,6C-8C3-52D-491-0-A61AD8C
72085551.0,QMB,Product J,34 / A / FtO,5E-23F-E1F-BB3-C-0C0686E
26922227.0,MTW,Product C,36 / B / FtO,BC-614-786-6CA-3-CEFF9E6
56155417.0,YQX,Product H,34 / A / FtO,7F-323-5FB-8CB-6-E7A9CC6
94930371.0,ELV,Product H,31 / A / 33,A8-493-B42-342-7-D3FE9C0
45232093.0,WHX,Product D,34 / C / FtO,CE-800-AEC-B75-2-A2CA14C
17087030.0,KNB,Product H,33 / B / 33,AD-350-66F-6CB-1-D410E97
60078121.0,WHX,Product P,34 / C / FtO,46-F29-B76-C69-3-EF2AD25
55350463.0,AYN,Product H,36 / C / FtO,8A-192-0F8-8C7-9-445A704
40522014.0,YYI,Product P,32 / A / FtO,43-C59-316-222-6-2011683
32373863.0,NSP,Product P,36 / B / 33,3E-C09-A39-B3E-F-E214B60
37478410.0,WHX,Product P,33 / B / FtO,ED-DCD-031-785-F-999C2B1
77090240.0,AYN,Product P,33 / A / 28,FC-339-328-4E2-4-83F6E37
90359469.0,RJF,Product P,31 / C / 31,23-31E-5BD-FF1-2-36C007E
16345004.0,RJK,Product P,36 / C / FtO,DA-C2C-216-272-B-D0C052F
87226152.0,JAF,Product W,34 / C / FtO,67-3B6-91C-581-E-7022BD2
89495938.0,EXR,Product J,35 / B / FtO,4D-061-8CB-67E-C-B00BE31
16345004.0,OTH,Product P,36 / B / FtO,A6-BF2-CC7-882-A-6FAB9F2
24064862.0,LQS,Product B,38 / B / FtO,F4-898-351-5AF-7-6394475
88419828.0,XEB,Product R,M / Sl / Re,AB-27B-129-3D6-5-A3B8343
50327934.0,LPZ,Product N,S / St / Re,BF-221-993-3EF-9-1897355
28273869.0,XEB,Product P,32 / C / FtO,99-0E0-75A-F52-7-2C5E205
87705806.0,XEB,Product P,38 / B / FtO,22-8F3-8E5-4C2-B-E56A5DE
24064862.0,QID,Product A,32 / B / FtO,B5-C77-70B-E98-4-03D271B
32740590.0,NMA,Product D,33 / A / FtO,C6-239-E3E-881-D-6B587F3
22559066.0,EYV,Product H,38 / C / FtO,ED-069-E89-29A-5-D253A1D
74841968.0,XEB,Product P,28 / A / FtO,01-A97-336-D1E-0-7CA4A5C
40522014.0,NWB,Product D,37 / A / FtO,CC-B58-E0D-45F-B-15C4CE1
88176838.0,KDP,Product N,L / Sl / Lo,A4-B87-6DF-A01-E-653E41C
52039657.0,DPR,DPR,100,AD-982-708-895-F-6C894FB
32740590.0,NMA,Product D,32 / A / FtO,FC-5E7-529-DD7-F-B08A270
50738429.0,KNB,Product P,34 / B / FtO,C1-87B-404-415-F-650D609
52259051.0,WHX,Product D,37 / B / FtO,37-C61-7D9-2C3-A-31F20A8
72009142.0,YQX,Product H,34 / B / FtO,07-3BC-D50-361-2-7C5F5AE
84452481.0,RJF,Product P,32 / A / FtO,D9-FBB-83F-429-F-51CFE08
24064862.0,CLH,Product B,32 / C / FtO,72-D15-AF8-872-F-A0C31BC
79462777.0,WHX,Product A,38 / B / FtO,EF-F3E-148-CF7-A-4D9D1A2
26922227.0,LQS,Product C,38 / B / FtO,F7-33D-994-096-F-89E3CCF
18064129.0,XEB,Product P,31 / B / FtO,F0-CAB-74F-37A-0-362E105
61310715.0,OTH,Product F,35 / B / FtO,06-0F2-6F0-220-B-F8D9DA8
66995443.0,WHX,Product P,32 / A / FtO,93-BCE-0C8-1F0-0-CE76A69
10383852.0,YQX,Product O,32 / A / 7,C9-F61-63A-C96-A-CDC2C7F
26922227.0,LQS,Product C,32 / B / FtO,EA-7F1-115-7DC-4-D196AB6
19561086.0,KNB,Product P,31 / A / FtO,59-4CA-CF5-A8E-B-7239994
50327934.0,LPZ,Product N,L / Sl / Re,F0-91F-BEF-8A1-8-4AB1DF0
65404484.0,RJF,Product P,28 / A / FtO,B3-5E1-6B4-9C0-0-C778FF7
22559066.0,NMA,Product H,37 / B / FtO,D8-4E5-FC8-DE0-7-8CA0638
37086199.0,KNB,Product P,32 / A / FtO,7B-D03-EA4-89A-9-5B1B695
15609600000000.0,YQX,Product H,37 / C / FtO,D6-751-3F2-79D-1-7D8D95F
91378233.0,YYI,Product P,32 / C / 32,A4-820-464-2AC-D-FA6AEDB
16345004.0,RJK,Product P,33 / B / FtO,18-3B2-778-957-7-F9452BB
97946314.0,YQX,Product H,31 / A / 31,18-518-BAC-F6C-A-9110145
78029228.0,WHX,Product P,31 / A / FtO,E1-B96-373-C3C-2-FD46EF7
20746250.0,QID,Product H,32 / B / 31,9F-7BC-620-8C8-B-FA9AE1B
90608498.0,AZN,Product Q,33 / A / 33,79-FE5-E47-016-7-B3F503D
26922227.0,MTW,Product C,30 / B / FtO,3D-1C3-9F5-A1F-7-362E2A7
93240252.0,VXH,Product P,33 / B / 33,71-C2E-BDB-376-2-E57ECC4
80366662.0,WHX,Product A,34 / B / FtO,9D-D1B-FA1-0A5-1-B6F673C
40522014.0,VXH,Product A,36 / A / FtO,C9-15F-F9F-114-C-FB8F820
72442713.0,KNB,Product H,36 / B / FtO,65-74E-443-294-2-17CE026
10383852.0,FQD,Product O,36 / B / 11,13-A42-580-DE4-0-4A06DE7
40522014.0,TSH,Product P,32 / B / FtO,9F-01C-6B5-22E-7-073E355
87226152.0,OUT,Product W,32 / B / FtO,B6-F5A-B1B-051-F-7361105
14115717.0,YQX,Product H,36 / A / FtO,1D-B55-67B-07D-F-75357CE
86889819.0,XEB,Product P,31 / A / FtO,AA-BDF-076-A77-3-AB997BE
26922227.0,LQS,Product C,33 / C / FtO,17-465-EED-750-1-BFEC324
86848094.0,LQS,Product C,32 / A / 29,61-774-657-1C7-8-ED6A47A
15144104.0,WHX,Product P,30 / A / FtO,DB-92F-6DF-18F-5-13B09BC
38761153.0,YQX,Product N,XL / St / Re,7D-5CA-BBD-A1B-7-9844F56
99422590.0,WHX,Product D,32 / B / FtO,18-E7C-DCC-C2D-D-B9DBE7F
56109013.0,RJF,Product P,36 / B / FtO,7C-D23-B98-39F-E-93ABC5C
22559066.0,NSP,Product P,31 / B / FtO,4E-B28-2BF-759-B-C9617A9
19533497.0,XEB,Product P,30 / A / FtO,AA-60A-D19-0E8-E-F341132
